ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\..\expansion04\doodads\pandaren\wallhanging\pa_wallhanging_03.obj;7.660637855529785;-11.678808212280273;-0.6810302138328552;-7.549790126404332e-8;0;0;-1;1;Set_$DefaultGlobal;522695
..\..\..\..\expansion04\doodads\pandaren\wallhanging\pa_wallhanging_04.obj;-7.822610855102539;-11.453869819641113;-0.6810302138328552;1;0;0;0;1;Set_$DefaultGlobal;522697
..\..\..\..\expansion04\doodads\pandaren\wallhanging\pa_wallhanging_03.obj;-7.694116592407227;17.3321475982666;-0.6810302138328552;1;0;0;-1.5099580252808664e-7;1;Set_$DefaultGlobal;522695
..\..\..\..\expansion04\doodads\pandaren\brazier\pa_brazier_01.obj;11.379562377929688;-5.618387699127197;-14.19110107421875;1;0;0;0;1;Set_$DefaultGlobal;520142
..\..\..\..\expansion04\doodads\pandaren\brazier\pa_brazier_01.obj;11.379562377929688;11.196125030517578;-14.189824104309082;1;0;0;0;1;Set_$DefaultGlobal;520142
..\..\..\..\expansion04\doodads\pandaren\brazier\pa_brazier_01.obj;-11.174848556518555;-5.618387699127197;-14.196747779846191;1;0;0;0;1;Set_$DefaultGlobal;520142
..\..\..\..\expansion04\doodads\pandaren\brazier\pa_brazier_01.obj;-11.174848556518555;11.196125030517578;-14.194385528564453;1;0;0;0;1;Set_$DefaultGlobal;520142
..\..\..\..\expansion04\doodads\pandaren\inn\pa_inntable_01.obj;5.044277667999268;16.09490203857422;-5.007471561431885;1;0;0;0;1;Set_$DefaultGlobal;528526
..\..\..\..\expansion04\doodads\pandaren\inn\pa_innbench_01.obj;3.365199565887451;16.04798126220703;-5.119845390319824;0.9961947202682495;0;0;0.08715574443340302;0.9999999403953552;Set_$DefaultGlobal;528523
..\..\..\..\expansion04\doodads\pandaren\inn\pa_innbench_01.obj;6.919297695159912;16.04798126220703;-5.119845390319824;1;0;0;0;1;Set_$DefaultGlobal;528523
..\..\..\..\expansion04\doodads\pandaren\inn\pa_innbench_01.obj;1.7436795234680176;16.0938663482666;-5.119845390319824;1;0;0;0;1;Set_$DefaultGlobal;528523
..\..\..\..\expansion04\doodads\pandaren\inn\pa_innbench_01.obj;-1.7561049461364746;16.0938663482666;-5.119845390319824;0.9961947202682495;0;0;0.08715574443340302;0.9999999403953552;Set_$DefaultGlobal;528523
