ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID;DoodadSetIndexes;DoodadSetNames
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_pools_02.obj;13857.455078125;90.06217193603516;15977.3798828125;7.58935546875;19;-3.08636474609375;;1.1494140625;6598370;m2;530701;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13634.84765625;100.20398712158203;15514.068359375;-56.63775634765625;166;0.633102536201477;;5.0390625;7730764;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13562.8232421875;168.4147186279297;15946.0146484375;0;214;0;;6.19921875;7730724;m2;620849;0;
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set1_high_ripples.obj;13956.978515625;120.50404357910156;15915.490234375;0;349;0;;1.19921875;6598373;m2;195676;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_02.obj;13747.7021484375;252.94216918945312;15909.7041015625;0;18.5;0;;8.419921875;7730735;m2;517014;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_farmlands_03.obj;13838.2421875;66.94913482666016;15739.99609375;0;182.5;0;;1.5390625;6799097;m2;531949;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13695.4697265625;220.97706604003906;15874.224609375;0;203.5;0;;4.509765625;7730725;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13713.78515625;187.4173583984375;15800.2861328125;0;204.5;0;;4.509765625;7730726;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13963.826171875;203.3907012939453;15911.873046875;0;16.5;0;;4.279296875;7730731;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_customedge_01.obj;13877.412109375;63.65312957763672;15615.044921875;0;163;0;;0.76953125;6859284;m2;537081;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_03.obj;13281.74609375;168.19845581054688;15919.279296875;0;153;0;;5.19921875;7730718;m2;530268;0;
